,title,overview,release_data,popularity,original_language,vote_average,vote_count
106,Clifford the Big Red Dog,"As Emily struggles to fit in at home and at school, she discovers a small red puppy who is destined to become her best friend. When Clifford magically undergoes one heck of a growth spurt, becomes a gigantic dog and attracts the attention of a genetics company, Emily and her Uncle Casey have to fight the forces of greed as they go on the run across New York City. Along the way, Clifford affects the lives of everyone around him and teaches Emily and her uncle the true meaning of acceptance and unconditional love.",2021-11-10,357.898,en,7.3,1342
107,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,"With the help of an ancient Kryptonian power, Lex Luthor unites the world’s Super-Villains to capture all of Earth's Super Heroes, until…only the DC Super Hero Girls are left to stop the Legion of Doom. Our heroes must cross dimensions to rescue their fellow Super Heroes from the Phantom Zone, but a fortuitous wrong turn leads them to Titans Tower – where they find much-needed allies in the Teen Titans!",2022-05-23,343.095,en,7.0,53
108,Ambulance,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",2022-03-16,327.213,en,6.9,976
109,Unhuman,"After their school bus crashes, a group of high school students is thrown into a terrifying fight for survival as they try to take down a group of unhuman savages… before they kill each other first.",2022-06-03,344.432,en,5.7,26
110,Texas Chainsaw Massacre,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic influencers who accidentally disrupt his carefully shielded world in a remote Texas town.",2022-02-18,347.99,en,5.2,860
111,The Unholy,"Alice is young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",2021-03-31,311.346,en,6.8,1684
112,Father There Is Only One,"Javier is what we have dubbed as a ""husband-in-law."" That is that without taking care of the care of the house and children at all, he knows exactly what needs to be done, and that he continuously collects a sum of sentences from the type: ""It is that you do not organize"", or ""do not get nervous"", you already consider that overflowing woman drowns in a glass of water. Javier will have to face the reality of dealing with five children (between four and twelve years old) when his wife decides to go on a trip and leave him alone with them. The chaotic situation that takes place at home will progressively evolve ecologically to the most absolute disaster, but at the same time it will give parents and children the opportunity to meet and enjoy themselves for the first time.",2019-08-02,371.464,es,7.6,484
113,The Simpsons in Plusaversary,"The Simpsons host a Disney+ Day party and everyone is on the list… except Homer. With friends from across the service and music fit for a Disney Princess, Plusaversary is Springfield's event of the year.",2021-11-12,348.252,en,6.6,313
114,No Exit,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",2022-02-25,357.967,en,6.9,628
115,Under the Amalfi Sun,"A year after their romance began in Riccione, Vincenzo and Camilla reunite for a vacation on the picturesque Amalfi Coast and put their love to the test.",2022-07-13,287.57,it,6.3,62
116,Ghostbusters: Afterlife,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",2021-11-11,325.478,en,7.6,3003
117,The Requin,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",2022-01-28,340.128,en,4.6,153
118,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009-12-10,342.966,en,7.5,25780
119,Superwho?,"Struggling actor Cedric seems doomed to lead the life of a loser. He's broke and his girlfriend has dumped him. Even his own father, sister and best buddies have lost faith in his ability to do anything worthwhile. Then finally, he gets a lead role: the superhero “Badman“. A chance to pull himself out of an endless downward spiral and gain his father's respect. But fate strikes again! Rushing off the set in full costume, Cedric has a car accident, loses his memory, and wakes up convinced he really is a superhero on mission! Confronted with real-life adventure and danger, his true nature is put to the test. Does he have what it takes to tackle the forces of evil, defend the weakest among us and beat the bad guys? But you can't just decide to be a hero, let alone a superhero... especially someone like Cedric!",2022-02-02,354.638,fr,6.1,179
120,After We Fell,"Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",2021-09-01,305.358,en,7.1,1798
121,"Hello, Goodbye, and Everything in Between","Clare and Aidan, who after making a pact that they would break up before college, find themselves retracing the steps of their relationship on their last evening as a couple. The epic date leads them to familiar landmarks, unexpected places, and causes them to question whether high school love is meant to last.",2022-07-06,307.399,en,6.0,80
122,The King's Man,"As a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",2021-12-22,331.699,en,6.9,2985
123,The Takedown,"Ousmane Diakité and François Monge are two cops with very different styles, backgrounds and careers. The unlikely pair are reunited once again for a new investigation that takes them across France. What seemed to be a simple drug deal turns out to be a much bigger criminal case wrapped in danger and unexpected comedy.",2022-05-06,320.747,fr,6.0,293
124,A Day to Die,"A disgraced parole officer is indebted to a local gang leader and forced to pull off a series of dangerous drug heists within twelve hours in order to pay the $2 million dollars he owes, rescue his kidnapped pregnant wife, and settle a score with the city's corrupt police chief, who is working with the gang leader and double-crossed him years ago.",2022-03-04,330.337,en,6.4,115
125,The Monster at the End of This Story,The Monster at the End of This Story is Sesame Street special on HBO Max.,2020-10-29,330.457,en,3.5,2
126,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",2021-03-18,329.462,en,8.3,7962
127,Dos más dos,,2022-03-31,311.434,es,6.7,25
128,Last Man Down,"After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.",2021-10-19,335.355,en,6.3,516
129,2037,"19-year-old Yoon Young lives alone with her mother and prepares for the civil service exam while working part-time. Regardless of good heart and sincere will, unexpected incidents turn Yoon Young from a victim to the killer, driving her to prison and being called inmate ""2037"" instead of ""Yoon Young."" In a hopeless situation her co-inmates in Cell No. 12 with their own stories offer a hand of hope to protect Yoon Young...",2022-06-08,362.897,ko,7.5,2
